text,cleaned_text,language,date,source,location,disaster_type
Lord makpagyrihan po Kau tunay s lahat..nawa po ay ingatan nio ang bawat ISA s amin..lalo n po at nppdlas na ang pag lindol s ibat ibang bahagi ng bansa..huwag nio po loobin n mtuloy ang the big one..kau n po ang bahala s amin s araw2..in Jesus name..amen..,lord makpagyrihan po kau tunay s lahatnawa po ay ingatan nio ang bawat isa s aminlalo n po at nppdlas na ang pag lindol s ibat ibang bahagi ng bansahuwag nio po loobin n mtuloy ang the big onekau n po ang bahala s amin s araw2in jesus nameamen,Tagalog,2025-04-22T19:03:31.000Z,Facebook,"Meycauayan, Bulacan",Flood
Salamat po panginoong at ligtas kaming lahat  amen salamat po🙏🏻🙏🏻🙏🏻,salamat po panginoong at ligtas kaming lahat amen salamat po:foldedhandslightskintone::foldedhandslightskintone::foldedhandslightskintone:,Taglish,2025-04-22T20:19:08.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord keep us safe always,lord keep us safe always,English,2025-04-22T11:04:02.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep us all safe Lord,keep us all safe lord,Taglish,2025-04-22T12:40:13.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe everyone,keep safe everyone,Taglish,2025-04-22T12:23:12.000Z,Facebook,"Meycauayan, Bulacan",Flood
"April 22,2025 n ngayon ito yung araw n napanood ko sa video tungkol sa Pilipinas",april 222025 n ngayon ito yung araw n napanood ko sa video tungkol sa pilipinas,Tagalog,2025-04-22T10:59:45.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe and pray everyone,keep safe and pray everyone,English,2025-04-22T15:02:48.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Panginoon kami'y nananalig sa iyong Kapangyariyan at umaasa na kmi ay hindi mo pabbayaan,Patawarin mo po kming lahat sa lahat ng aming mga ngawang kasalanan.",panginoon kamiy nananalig sa iyong kapangyariyan at umaasa na kmi ay hindi mo pabbayaanpatawarin mo po kming lahat sa lahat ng aming mga ngawang kasalanan,Tagalog,2025-04-22T12:54:36.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe everyone,keep safe everyone,Taglish,2025-04-22T11:13:09.000Z,Facebook,"Meycauayan, Bulacan",Flood
God bless the Philippines 🙏🙏🙏🙏,god bless the philippines :foldedhands::foldedhands::foldedhands::foldedhands:,English,2025-04-22T18:42:59.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord make us safe and save us all from any danger. Thank you Lord. Amen🙏🏼🙏🏼🙏🏼,lord make us safe and save us all from any danger thank you lord amen:foldedhandsmediumlightskintone::foldedhandsmediumlightskintone::foldedhandsmediumlightskintone:,Taglish,2025-04-23T00:14:10.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord  save your people and the whole world, we pray, Amen 🙏🏼🙏🏼🙏🏼",lord save your people and the whole world we pray amen :foldedhandsmediumlightskintone::foldedhandsmediumlightskintone::foldedhandsmediumlightskintone:,English,2025-04-22T12:08:52.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord let everyone be safe for this unseen event. Father in Heaven save my love ones, in the Philippines. In Jesus Name.",lord let everyone be safe for this unseen event father in heaven save my love ones in the philippines in jesus name,English,2025-04-23T06:55:09.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen    lord...,amen lord,Taglish,2025-04-22T12:58:27.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord keep us safe Amen🙏,lord keep us safe amen:foldedhands:,Taglish,2025-04-23T03:40:54.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord God  save your people and the whole world,Amen🙏🙏🙏Stay safe everyone🌺",lord god save your people and the whole worldamen:foldedhands::foldedhands::foldedhands:stay safe everyone:hibiscus:,English,2025-04-23T06:27:04.000Z,Facebook,"Meycauayan, Bulacan",Flood
keep them safe Oh Lord...have mercy on us,keep them safe oh lordhave mercy on us,English,2025-04-22T21:16:16.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord please help and protect us🙏🙏🙏,lord please help and protect us:foldedhands::foldedhands::foldedhands:,English,2025-04-22T21:01:53.000Z,Facebook,"Meycauayan, Bulacan",Flood
Protect me all lord Amen,protect me all lord amen,Taglish,2025-04-22T22:11:44.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe and pray everyone,keep safe and pray everyone,English,2025-04-22T20:56:04.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord pray for us amen,lord pray for us amen,English,2025-04-23T10:56:25.000Z,Facebook,"Meycauayan, Bulacan",Flood
Amen🙏,amen:foldedhands:,Taglish,2025-04-22T19:43:35.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord God ,you are our shield .Your love for us never fails.Protect us from any danger.Have mercy on your people, in Jesus name I fervently pray.Amen.",lord god you are our shield your love for us never failsprotect us from any dangerhave mercy on your people in jesus name i fervently prayamen,English,2025-04-22T19:21:00.000Z,Facebook,"Meycauayan, Bulacan",Flood
"salamat panginoon sa pag iingat mo sa Amin at at inilayo mo po kmi sa kalamidad , naway patuloy nyo po kmi gabayan sa lhat ng oras nway wag mo po ipadanas sa Amin Ang nangyayari Ngayon sa iBang Lugar, thank you lord,, keep safe every one",salamat panginoon sa pag iingat mo sa amin at at inilayo mo po kmi sa kalamidad naway patuloy nyo po kmi gabayan sa lhat ng oras nway wag mo po ipadanas sa amin ang nangyayari ngayon sa ibang lugar thank you lord keep safe every one,Tagalog,2025-04-22T13:37:17.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Salamat po Panginoon sa patuloy mo pong pag iingat sa amin at sa Iyong protection.
Patuloy po tayong manalangin lahat sa ating Panginoon na gabayan at balutin tayo ng kanyang Banal na Dugo bilang proteksyon.",salamat po panginoon sa patuloy mo pong pag iingat sa amin at sa iyong protection patuloy po tayong manalangin lahat sa ating panginoon na gabayan at balutin tayo ng kanyang banal na dugo bilang proteksyon,Tagalog,2025-04-22T11:05:40.000Z,Facebook,"Meycauayan, Bulacan",Flood
let us all pray 🙏 prayer is powerful God is merciful and loving ❤️,let us all pray :foldedhands: prayer is powerful god is merciful and loving :redheart:,English,2025-04-22T12:11:07.000Z,Facebook,"Meycauayan, Bulacan",Flood
Continue praying and God listen nothing is impossible to God🙏,continue praying and god listen nothing is impossible to god:foldedhands:,English,2025-04-22T11:22:24.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord God the Father,God the Son,and God the Holy Spirit save and protect me,my family,friends and my country,from all dangers,evils, illnesses, calamities...AMEN in JESUS' Mighty and Holy name",lord god the fathergod the sonand god the holy spirit save and protect memy familyfriends and my countryfrom all dangersevils illnesses calamitiesamen in jesus mighty and holy name,English,2025-04-22T11:14:49.000Z,Facebook,"Meycauayan, Bulacan",Flood
Have Mercy on us oh Lord. Be alert n keep safe everyone 🙏🙏🙏,have mercy on us oh lord be alert n keep safe everyone :foldedhands::foldedhands::foldedhands:,Taglish,2025-04-22T11:29:17.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Stay safe everyone, God bless always !!!",stay safe everyone god bless always,English,2025-04-23T05:23:36.000Z,Facebook,"Meycauayan, Bulacan",Flood
Protect our family lord god🙏🙏🙏🙏,protect our family lord god:foldedhands::foldedhands::foldedhands::foldedhands:,English,2025-04-22T20:10:14.000Z,Facebook,"Meycauayan, Bulacan",Flood
"Lord, have mercy on your people",lord have mercy on your people,English,2025-04-22T21:28:10.000Z,Facebook,"Meycauayan, Bulacan",Flood
We pRay always to our God Bless you always 🙏🙏😊 ii,we pray always to our god bless you always :foldedhands::foldedhands::smilingfacewithsmilingeyes: ii,English,2025-04-22T21:56:31.000Z,Facebook,"Meycauayan, Bulacan",Flood
Keep safe and Godbless..,keep safe and godbless,Taglish,2025-04-22T22:47:32.000Z,Facebook,"Meycauayan, Bulacan",Flood
My Lord my God please keep us safe in your hands always.,my lord my god please keep us safe in your hands always,English,2025-04-23T07:30:39.000Z,Facebook,"Meycauayan, Bulacan",Flood
Lord.Please keep us safe,lordplease keep us safe,Taglish,2025-04-22T21:09:30.000Z,Facebook,"Meycauayan, Bulacan",Flood
Wag nman po sana lord layu nyo po kami sa kalamidad wag nyo po kaming pabayaan 🙏🙏🙏,wag nman po sana lord layu nyo po kami sa kalamidad wag nyo po kaming pabayaan :foldedhands::foldedhands::foldedhands:,Tagalog,2025-04-22T22:06:18.000Z,Facebook,"Meycauayan, Bulacan",Flood
