text,sentiment
"Oh my god! It's flooding everywhere! We're trapped!",panic
"I hope everyone stays safe during this typhoon. 🙏",resilience
"This earthquake is scary. I'm worried about aftershocks.",fear
"Did that really just happen? I can't believe it.",disbelief
"PAGASA reports the typhoon will make landfall at 2pm today.",neutral
"We need to evacuate now! The flood is rising quickly!",panic
"Together, we can overcome this disaster. Stay strong!",resilience
"I'm afraid for my family's safety during this storm.",fear
"Is this real? I've never seen flooding this bad before.",disbelief
"The governor announced relief operations will begin tomorrow.",neutral
"Di ko akalaing ganito kabilis tataas ang tubig! 😭",panic
"Ingat po tayong lahat sa bagyo. Kaya natin ito! 🙏",resilience
"Nakakakaba ang lindol kagabi. Parang hindi ako makakatulog dahil baka may aftershock.",fear
"Di ako makapaniwala na ganito kalala ang pagbaha sa amin. First time to nangyari.",disbelief
"Ayon sa PAGASA, signal no. 3 na sa Batanes dahil sa bagyo.",neutral
"Tulungan po tayo! Abot tenga na ang baha sa amin! Kailangan rescue!",panic
"Magtulungan po tayo sa panahon ng sakuna. Malalagpasan din natin ito.",resilience
"Takot ako sa bagyo. Baka tumama sa bahay namin. Sana matapos na ito.",fear
"Ganun kalakas ang lindol? Di ako makapaniwala na nasira yung daan at tulay.",disbelief
"May relief operation sa gym bukas alas-8 ng umaga.",neutral
"Help! The earthquake destroyed our house!",panic
"We will rebuild our community together.",resilience
"I'm scared of the aftershocks.",fear
"I can't believe this is happening to us.",disbelief
"The typhoon is expected to make landfall tomorrow morning.",neutral
